Proteins,Hishigaki_Scores
NRPD4,15.373970985290347
NRPB11,15.230940337619597
F8A5.14,14.94125107873075
AAC42,14.94125107873075
NRPB3,14.881607424759382
NRPB8B,14.679704095857671
NRPB8A,14.679704095857671
NRPD3B,14.04671056076234
F6I18.270,14.043304853835755
NRPB6A,13.816621690078614
NRPB6B,13.816621690078614
EMB1674,13.482325702732666
GTA2,13.48216466127501
NRPB10,13.387295248605948
H2AV,12.786697356536987
MUB3.7,12.580174127426682
F17I14.140,12.580174127426682
F13P17.5,12.580174127426682
NRPB10L,12.533453743911037
HTA4,12.38232250730218
HTA8,12.38232250730218
SSRP1,11.603295227994963
SPT42,10.98549375096809
MAH20.24,10.98549375096809
RDM3,10.555302959147353
SPT16,10.393430529739778
GTC2,10.382907123156253
VIP5,10.060883089295197
F16M19.22,10.060883089295197
SPT6,9.642232032218091
CDC73,9.615219968873545
T5J17.190,9.361851405832763
F16J13.140,9.361851405832763
F24B9.25,8.904033747676577
VIP6,8.794441217472118
NAC072,8.475643504381306
Q9LIF6_ARATH,8.155391164365374
MORF1,8.092639460523987
NRPA1,8.07273833398552
F22C12.10,7.673276444744845
K21L13.5,6.791693926090783
MAH20.19,6.092954013493046
NAC002,5.962446014651215
HTR12,5.727151700636669
F1N20.160,5.665016442665141
BZIP8,5.585331303757562
EIF4E1,5.483326403834865
KIN1-2,5.464719759794111
MRG1,5.2410830905254695
MRG2,5.2410830905254695
Q8RWS0_ARATH,5.191453561578126
Atmyb2,5.0124091040389835
T24H18.80,5.007413913280348
F10A5.19,5.007413913280348
MGH3,5.007413913280348
HMGB11,4.90011449884533
HMGB15,4.90011449884533
HMGB9,4.90011449884533
HMGB10,4.90011449884533
DCP5,4.758364312267657
T6J4.12,4.5966173115917535
HTR11,4.5966173115917535
HTR2,4.463424782332223
SUVR5,4.451677702912018
F13J11.12,4.392480384972833
DCP5-L,4.282527881040892
HTR4,4.213747540635132
Q93VF4_ARATH,3.997473280669144
NRPC1,3.997473280669144
NHX7,3.9818429023819375
EM6,3.9818429023819375
ABF1,3.9682208773815066
HDA9,3.9462426127156602
K9I9.20,3.9462426127156602
T16K5.180,3.9462426127156602
HDA7,3.8586271491635675
HAB1,3.840673702459252
T5K18.40,3.806691449814126
T5K18.120,3.806691449814126
T27K22.4,3.7114659363949576
MBK5.18,3.5178911643653747
CIPK24,3.1680616868029743
EM1,3.132160780669146
CAM6,2.9847041511772
ABI3,2.905571316767757
HMGB6,2.8903912412730066
HSP70-4,2.720869728348237
T5K18.140,2.516034825485336
CAM1,2.462250647238449
TAF4,2.4371875400589667
TAF4B,2.4371875400589667
OFUT23,2.410558008054523
GOLS2,2.296392567637341
AIP1,1.867864851900708
HSP18.1,1.7314226926651426
CLPB1,1.652611806741686
CKB1,1.631078232873075
WRKY63,1.5030015051721353
CAM2,1.4579519052044623
HSP70-8,1.2239636422232885
RH8,1.1797524190903124
F16L2_40,1.1797524190903124
RH12,1.1797524190903124
RH6,1.1797524190903124
T7I23.15,1.0634957514604355
CLPD,1.0145473064922994
P5CSA,1.006933112518372
IAA5,0.9516728624535316
HSFB2A,0.9051394605239865
EIF4E3,0.8574726998141263
NFYB3,0.8574726998141263
HSFA4A,0.8099732806691454
NFYA2,0.7994946561338288
HSP17.7,0.7481485246282531
F4IHD8_ARATH,0.7049732806691447
DPBF3,0.6887778810408927
ARF7,0.6655567495353154
SUMO3,0.6401506350681536
CUL3A,0.5957064253126056
GRF7-2,0.4758364312267658
NAC032,0.45918525402726157
HSP26.5,0.4032793414763674
NAC096,0.37407426231412655
SWC2,0.3453928095199611
ATHB-6,0.2688528943175783
GOLS1,0.22408330517066577
PCNA,0.17658476610904572
NAC016,0.16199465613382918
PP2C27,0.1280301270136307
UVR3,0.1280301270136307
NIC2,0.1280301270136307
HSFA6b,0.08829238305452286
DAPB3,0.06043215613382889
NAC013,0.032863947158789174
NFYC10,0.032863947158789174
NAC098,0.01863899215200325
NF-YC10,0.010479152585332881
T17J13.220,0.004908224907063207
GRF9,0.0024541124535316034
NAC046,0.0024541124535316034
DREB2A,0.0017755090717416749
ACT2,0.0
HSFA3,0.0
ERD10,0.0
PXG3,0.0
BZIP28,0.0
DRIP1,0.0
DREB1C,0.0
RAV1,0.0
KEG,0.0
SAG113,0.0
WRKY18,0.0
DREB1A,0.0
COR15A,0.0
NCED3,0.0
ABI5,0.0
ABF4,0.0
MYC2,0.0
HKT1,0.0
ABF2,0.0
ZEP,0.0
SRK2E,0.0
ABF3,0.0
ABI2,0.0
PYR1,0.0
PP2CA,0.0
ABI1,0.0
LTI65,0.0
RD29A,0.0
RD22,0.0
MYB96,0.0
SRK2D,0.0
SRK2I,0.0
SOG1,0.0
SAP5,0.0
VIP4,0.0
HTA9,0.0
NF-YB11,0.0
RIN1,0.0
HAG1,0.0
NRPB9A,0.0
ABA3,0.0
TTL1,0.0
AP2,0.0
COR47,0.0
NRPE1,0.0
LEA7,0.0
PCNA2,0.0
EIF4E2,0.0
RCI2A,0.0
LIG6,0.0
NRPB4,0.0
RHA2A,0.0
GPX6,0.0
CP1,0.0
SCRM,0.0
ACT7,0.0
CAM7,0.0
CML10,0.0
SDIR1,0.0
ATHB-7,0.0
WRKY40,0.0
MYB15,0.0
NAC055,0.0
MYB44,0.0
HSP90-1,0.0
HSFA2,0.0
HAM1,0.0
NRPB9B,0.0
HAM2,0.0
NAC053,0.0
GRF1,0.0
VOZ2,0.0
MED32,0.0
WRKY33,0.0
HOS1,0.0
MED25,0.0
COR15B,0.0
SUMO2,0.0
SYD,0.0
EIF(ISO)4E,0.0
SIZ1,0.0
SUMO1,0.0
HSFA9,0.0
LHP1,0.0
DRIP2,0.0
ZHD11,0.0
NAC019,0.0
NAC102,0.0
APX3,0.0
HDA6,0.0
CBL4,0.0
ARP5,0.0
ZAT10,0.0
SWC4,0.0
ZAT12,0.0
ZAT6,0.0
HSFA1E,0.0
HSFA7B,0.0
HSFA6A,0.0
HSP21,0.0
MBF1C,0.0
ZAT7,0.0
NHX1,0.0
HSFA5,0.0
JUB1,0.0
HSFA7A,0.0
HSFA1A,0.0
HSFA1B,0.0
HSFC1,0.0
HSFB1,0.0
AZF2,0.0
RCD1,0.0
APX2,0.0
APX1,0.0
NAC017,0.0
DET1,0.0
HSA32,0.0
HSFA1D,0.0
HSFB2B,0.0
BPM2,0.0
CESA4,0.0
NAC062,0.0
LEA14,0.0
CHIP,0.0
HSFA8,0.0
XERO2,0.0
KIN2,0.0
SRO1,0.0
